no,category,addr1,addr2,addr3,name,menu,x_code,y_code,food_category1,food_category2,
623,맛녀석,강원,평창군,강원 평창군 평창읍 백오1길 18,샘터감자옹심이,감자옹심이&메밀칼국수,128.3942525,37.36686338, 한식,-,
624,맛녀석,강원,강릉시,강원 강릉시 해안로 286,고선생 화덕생선구이,화덕생선구이&오징어먹물솥밥,128.9205145,37.79095145, 한식 ," 해물,생선",
625,맛녀석,서울,강남구,서울 강남구 논현로161길 57,스킬렛 스테이크하우스,육우 티본 스테이크,127.0237197,37.52225852, 양식 ," 스테이크,립",
626,맛녀석,서울,마포구,서울 마포구 와우산로29길 14-8,고토히라우동,족타 새우튀김우동&해물우동 등,126.929172,37.5550613, 일식 ," 돈까스,우동",
627,골목식당,서울,동대문구,서울 동대문구 제기로5길 46,미식본좌,토마토치즈고기덮밥&따그면,127.0356064,37.58826262, 한식,-,
628,골목식당,서울,동대문구,서울 도봉구 도봉로109길 46,뚝닭,치킨라이스,127.0308345,37.6471093, 한식 ," 육류,고기 ", 삼계탕
629,골목식당,서울,동대문구,강원 강릉시 공항길127번길 64,해마루,마늘종고기치즈밥,128.9537842,37.76424679, 한식 ," 해물,생선 ",
630,골목식당,강원,철원군,강원 철원군 갈말읍 삼부연로17번길 3-7,전주꺼꾸로콩나물국밥,콩나물국밥,127.3093911,38.14559175, 한식 , 국밥,
631,골목식당,강원,철원군,강원 철원군 갈말읍 삼부연로17번길 3-9,소풍on주꾸미,주꾸미볶음,127.3092596,38.14552543, 한식,-,
632,골목식당,강원,철원군,강원 철원군 갈말읍 삼부연로 26,우리집칼국수,전골칼국수,127.3108282,38.14551588, 한식 , 국수,
633,골목식당,제주,제주시,제주특별자치도 제주시 한림읍 금악로 18,금악 똣똣라면,라면,126.2966215,33.35865609, 분식,-,
634,골목식당,제주,제주시,제주특별자치도 제주시 한림읍 금악로1길 1,아니따,흑돼지라구파스타&감태페스토파스타,126.2963008,33.35884902, 양식 , 이탈리안,
635,골목식당,제주,제주시,제주특별자치도 제주시 한림읍 금악로1길 3,꿀봉,한라봉강정&허니치즈강정&커민칠리강정,126.2963305,33.35903401, 분식,-,
636,골목식당,제주,제주시,제주특별자치도 제주시 한림읍 금악로 18,치꼬,까르니따스타코,126.2966467,33.35872205, 양식 ," 멕시칸,브라질",
637,골목식당,경기,하남시,경기 하남시 하남대로801번길 40,하늘사다리,돈가스김밥&묵땡김밥,127.2072207,37.53925398, 분식,-,
638,골목식당,경기,하남시,경기 하남시 신장1로9번길 48-10,문쉐프의고기국수,고기국수,127.2073548,37.53863566, 한식 , 국수,
639,골목식당,경기,하남시,경기 고양시 일산서구 일현로 47,춘천명동닭갈비,닭갈비&로제닭갈비,126.762814,37.69155982, 한식 ," 육류,고기 ",
640,골목식당,경기,고양시,경기 고양시 일산동구 숲속마을2로 70-1,온테이블,페퍼로니아라비아따&영양부추까르보나라&우삼겹깻잎크림파스타,126.800159,37.67380229, 양식 , 이탈리안,
641,골목식당,경기,고양시,경기 고양시 일산동구 숲속마을2로 114-3,밥하기싫은날,똠얌꿍쌀국수,126.8008856,37.67336925, 아시아음식 , 동남아음식 ,
642,골목식당,경기,고양시,경기 고양시 일산동구 숲속마을2로 122,정담아구,아귀찜,126.7998652,37.6734414, 한식 ," 해물,생선 ",
643,골목식당,경기,부천시,경기 부천시 조마루로97번길 26-3,JOHN312,고미야미,126.7550024,37.5015108, 패스트푸드 , 샌드위치,
644,골목식당,경기,부천시,경기 부천시 조마루로97번길 25-12,버거스타일,원시버거&근대버거&현대버거,126.7542104,37.50161367, 양식 , 햄버거,
645,골목식당,경기,부천시,경기 부천시 조마루로85번길 24,미소짓는돈까's집,수제등심돈가스,126.7534689,37.5015004, 일식 ," 돈까스,우동",
646,골목식당,서울,구로구,서울 구로구 오류로8길 107,우리옛날통닭,통닭&똥집튀김&닭껍질튀김,126.8459357,37.49345804, 치킨,-,
647,골목식당,서울,구로구,서울 구로구 오류로8길 87,병규네부대찌개,부대찌개,126.8448214,37.49313942, 한식 ," 찌개,전골",
648,골목식당,서울,구로구,서울 구로구 서해안로30길 13-8,옹기종기 감자옹심이,감자옹심이&메밀물막국수&메밀비빔막국수,126.8444628,37.49316418, 한식,-,
649,골목식당,서울,강동구,서울 강동구 진황도로47길 67,호야네철판닭갈비,닭갈비,127.1406229,37.53764197, 한식 ," 육류,고기 ",
650,골목식당,서울,강동구,서울 강동구 진황도로47길 67,킹콩파스타,알리오올리오&포모도로&차돌크림파스타,127.140641,37.53763834, 양식 , 이탈리안,
651,골목식당,서울,강동구,서울 강동구 양재대로112길 13,재성이네 코다리찜&전골,코다리찜,127.140583,37.53690139, 한식 ," 해물,생선",
652,골목식당,서울,강서구,서울 강서구 화곡로64길 72,띠아낭,쌀국수,126.8568892,37.55591843, 아시아음식 , 동남아음식 ,
653,골목식당,서울,강서구,서울 강서구 공항대로45나길 41,미전옥,마장덮밥,126.8562877,37.55615827, 일식,-,
654,골목식당,서울,강서구,서울 강서구 공항대로45길 30,추가추어탕,추어탕,126.8555343,37.55659974, 한식 ," 해물,생선 ",
655,골목식당,경기,성남시,경기 성남시 중원구 제일로53번길 14,밀국수,생면황태국수,127.1346348,37.43157149, 한식 , 국수,
656,골목식당,경기,성남시,강원 정선군 고한읍 물한리길 46,윤식당,육개장,128.837992,37.21018846, 한식,-,
657,골목식당,서울,중랑구,서울 중랑구 면목로44길 57,사가정만두만,만두,127.0917833,37.58101716, 한식,-,
658,골목식당,서울,중랑구,서울 중랑구 면목로44길 32,소문난아구찜,아귀찜,127.0903023,37.58089216, 한식 ," 해물,생선 ",
659,골목식당,서울,동작구,서울 동작구 상도로41길 35,은희네 온집닭떡볶이,닭떡볶이,126.9509401,37.50243944, 분식 , 떡볶이,
660,골목식당,서울,동작구,서울 동작구 상도로 295,빽찐라면,순한라면&매운라면,126.949552,37.50144775, 분식,-,
661,골목식당,서울,동작구,경남 양산시 양산역로 105,명동국수,소고기국수&소고기주먹밥,129.0291549,35.33878008, 한식 , 국수,
662,골목식당,서울,광진구,서울 광진구 능동로49길 15,바삭알까스,알까스,127.0823888,37.56443678, 일식 ," 돈까스,우동",
663,골목식당,서울,광진구,서울 광진구 긴고랑로11길 29,부산어묵 중곡점,마라어묵,127.0819045,37.56456415, 분식,-,
664,골목식당,서울,광진구,서울 광진구 능동로49길 16,강희자얼큰손만두국,시래기얼큰만둣국&시래기만둣국,127.0824455,37.56457279, 한식,-,
665,골목식당,서울,도봉구,서울 도봉구 도봉로110아길 7,스마일닭강정,닭강정,127.0376055,37.64595047, 간식 , 닭강정,
666,골목식당,서울,도봉구,서울 도봉구 도봉로110아길 12,지니 피자,지니페페피자&또노피자&치즈피자,127.037449,37.6456568, 양식 , 피자,
667,골목식당,서울,도봉구,경기 성남시 분당구 석운로202번길 12,헬로,미트볼파스타&아란치니파스타,127.0470334,37.37994546, 양식 , 이탈리안,
668,골목식당,경북,포항시,경북 포항시 북구 중앙로294번길 4,국수이야기,물가자미비빔국수&힘내라포항칼국수,129.3664796,36.03890699, 한식 , 국수,
669,골목식당,경북,포항시,경북 포항시 북구 중앙로294번길 10-7,THE 신촌's 덮죽,시소덮죽&소문덮죽,129.367178,36.03870399, 한식 , 죽,
670,골목식당,경기,수원시,경기 수원시 장안구 영화로71번길 33,엄마사랑분식,갓김밥&고기말이&멘보사과,127.0051336,37.29210777, 분식,-,
671,골목식당,경기,수원시,강원 원주시 능라동길 75,감동튀김,김고구마튀김&무떡볶이,127.9299461,37.33285967, 분식 , 떡볶이,
672,골목식당,경기,수원시,경기 수원시 장안구 경수대로973번길 13-3,영미식당,오리주물럭&돼지주물럭,127.0044949,37.30378073, 한식 ," 육류,고기 ",
673,골목식당,경기,군포시,경기 군포시 산본로179번길 23,군포왕족발,왕족발&모둠내장,126.9478855,37.35406946, 한식 ," 육류,고기 ",
674,골목식당,경기,군포시,경기 군포시 군포로538번길 7-3,어흥떡볶이,짜장떡볶이,126.9468923,37.35406181, 분식 , 떡볶이,
675,골목식당,서울,노원구,서울 노원구 공릉로39길 10,경복식당,백반&제육볶음,127.0787387,37.62373352, 한식,-,
676,골목식당,서울,노원구,서울 노원구 공릉로39길 21,기찻길풍경 야채곱창,야채곱창,127.0781744,37.62354379, 한식 ," 육류,고기 ",
677,골목식당,서울,서대문구,서울 서대문구 세무서7길 13,유진치킨 홍제점,갈비치킨,126.9460764,37.59147042, 치킨,-,
678,골목식당,서울,서대문구,서울 서대문구 세무서7길 8,대청마루감자탕,감자탕&돼지등뼈갈비탕,126.946484,37.59142375, 한식 , 감자탕,
679,골목식당,서울,서대문구,서울 서대문구 세무서7길 7,정가네팥칼국수,팥옹심이,126.9463618,37.5913372, 한식 , 국수,
680,골목식당,경기,평택시,경기 평택시 원평2로27번길 2,하우드수제돈까스,김치볶음밥,127.0818668,36.99062794, 한식 , 한정식,
681,골목식당,경기,평택시,경기 평택시 원평2로 27,맛짱할매의 멸치국수,할매국수&김밥,127.0817127,36.9904235, 한식 , 국수,
682,골목식당,서울,성북구,서울 성북구 아리랑로19길 20,정가네 지짐이,모둠전,127.012312,37.60261835, 한식,-,
683,골목식당,서울,성북구,서울 송파구 삼전로 95,장수식당,청국장,127.0898142,37.50716017, 한식,-,
684,골목식당,서울,성북구,서울 성북구 보국문로 92,마몽함박,함박스테이크,127.0082566,37.61238002, 양식 ," 스테이크,립",
685,골목식당,서울,강동구,서울 강동구 천호대로182길 26,봄플레이트,카레덮밥,127.1406177,37.53244501, 일식,-,
686,골목식당,서울,강동구,서울 강동구 천호대로176길 10,온전히,모둠초밥,127.1361086,37.53402344, 일식 ," 초밥,롤",
687,골목식당,경기,부천시,서울 성동구 금호산9가길 34,승록이네,중화풍 떡볶이&똥튀김,127.0188176,37.55183745, 대체의학 ," 침술,수지침",
688,골목식당,경기,부천시,경기 부천시 석천로177번길 44,1983피자,롱피자,126.7604306,37.50370236, 양식 , 피자,
689,골목식당,강원,원주시,강원 원주시 중앙시장길 6,어머니손칼국수,칼국수,127.9494863,37.35020904, 한식 , 국수,
690,골목식당,강원,원주시,강원 원주시 중앙시장길 6,부리또만나,타코&부리토,127.9495653,37.3502066, 양식 ," 멕시칸,브라질",
691,골목식당,강원,원주시,강원 원주시 중앙시장길 6,예미,에비돈,127.9492105,37.35000042, 일식 , 일식집,
692,골목식당,전남,여수시,전남 여수시 통제영3길 10-15,PS파스타,갓김치파스타&정어리파스타,127.7347831,34.74066402, 양식,-,
693,골목식당,전남,여수시,서울 강남구 도산대로51길 37,문어쌀롱,갓돈라면,127.0379975,37.52564977, 술집 ," 호프,요리주점",
694,골목식당,전남,여수시,전남 여수시 진남상가길 5-1,갓몬스터,갓버거,127.7360387,34.74114229, 양식 , 햄버거,
695,골목식당,충남,서산시,울산 동구 번덕로 31,북경반점,간짜장,129.4248449,35.49966013, 중식 , 중국요리,
696,골목식당,충남,서산시,충남 서산시 해미면 읍성마을4길 16,추억의집밥,서산더미불고기,126.5453563,36.71054997, 한식,-,
697,골목식당,충남,서산시,충남 서산시 해미면 읍성마을3길 22,해미우시장,돼지곱창&곱창전골,126.5451467,36.71003192, 한식 ," 육류,고기 ",
698,골목식당,충남,서산시,충남 서산시 해미면 동문2길 8,해미호떡,마가린호떡,126.5491276,36.71042374, 간식,-,
699,골목식당,충남,서산시,충남 서산시 해미면 읍성마을1길 16-1,맛이나식당,얼큰소머리국밥&돼지찌개&실치국,126.5462901,36.71086351, 한식,-,
700,골목식당,경남,거제시,경남 거제시 일운면 지세포로 101,쌤김밥,거미새라면&TOT김밥,128.7037278,34.82959096, 분식,-,
701,골목식당,경남,거제시,부산 금정구 청룡로 40,풍년곤드레,코다리찜&보리밥,129.0882469,35.27567776, 한식 ," 육류,고기 ",
702,골목식당,경남,거제시,경남 거제시 일운면 지세포4길 12,일운충무김밥,거제김밥,128.7037783,34.82938657, 분식,-,
703,골목식당,서울,동대문구,경기 양평군 용문면 경강로 2758-1,여기가좋겠네,닭볶음탕,127.578146,37.48450789, 자동차 ," 주유,가스 ", 오일뱅크주유소
704,골목식당,서울,동대문구,서울 동대문구 회기로21길 29,고깃집도훈,갈비탕&냉동삼겹살,127.0531636,37.59269972, 한식 ," 육류,고기",
705,골목식당,서울,동대문구,서울 동대문구 회기로21길 22,17,피자,127.0533762,37.59234823, 양식 , 피자,
706,골목식당,서울,동대문구,서울 동대문구 경희대로4길 29,땡스컵밥 경희대점,컵밥,127.0541008,37.59215869, 분식,-,
707,골목식당,서울,용산구,서울 용산구 한강대로84길 4,오복함흥냉면,온면,126.9728744,37.54347096, 한식 , 냉면,
708,골목식당,서울,용산구,서울 용산구 청파로43길 12,버거인,햄버거,126.9700319,37.54369012, 양식 , 햄버거,
709,골목식당,서울,서대문구,서울 서대문구 홍은중앙로8길 19,포방식당,막창&곱창찌개,126.9486755,37.59893899, 한식 ," 육류,고기 ",
710,골목식당,서울,서대문구,서울 서대문구 홍은중앙로 100-1,어머니와 아들,초계국수,126.9486797,37.59936066, 한식,-,
711,골목식당,제주,서귀포시,제주특별자치도 서귀포시 일주서로 968-10,연돈,돈가스&치즈돈가스,126.4071581,33.25889529, 일식 ," 돈까스,우동",
712,골목식당,서울,서대문구,서울 서대문구 홍은중앙로 100-35,포방터쭈꾸미,철판쭈꾸미,126.9488926,37.59932471, 한식 ," 해물,생선",
713,골목식당,서울,강동구,서울 강동구 천호대로162길 19,김여사네국수,멸치국수&멸치김밥,127.1285177,37.53587539, 한식 , 국수,
714,골목식당,서울,강동구,서울 성동구 서울숲6길 21,더짬뽕,짬뽕&탕수육,127.0439699,37.54740866, 중식 , 중국요리,
715,골목식당,서울,강동구,전북 전주시 완산구 전주객사1길 42,피콜로,참나물스파게티&고사리알리오올리오,127.1394221,35.81820016, 양식,-,
716,골목식당,인천,중구,인천 중구 제물량로 154,타코타마,다코야키,126.6266649,37.47042098, 일식,-,
717,골목식당,인천,중구,서울 강북구 4.19로 10,돈돈,돈돈튀김,127.0131455,37.64810458, 일식 ," 돈까스,우동",
718,골목식당,인천,서구,인천 서구 건지로 402,만스김밥,꼬마김밥,126.6849128,37.49396543, 분식,-,
719,골목식당,인천,중구,인천 중구 우현로35번길 7-2,마카롱데이즈,마카롱,126.626721,37.47050134, 카페 , 테마카페 ,
720,골목식당,서울,용산구,충북 청주시 청원구 공항로 6,코스모스식당,카레,127.488348,36.65787752, 술집,-,
721,골목식당,서울,용산구,서울 용산구 신흥로 95-17,H5NG,볶음밥&레몬치킨&몽골리안소고기튀김,126.9849466,37.54511564, 퓨전요리 , 퓨전중식,
722,골목식당,서울,용산구,서울 용산구 소월로20길 38,시장회집,알탕&아귀찜,126.9851639,37.54489582, 한식 ," 해물,생선 ",
